<index>,Date,<Open>,<High>,<Low>,<Close>,<Volume>,<P/E>,<P/B>
Nifty 50 TRI,20200701,,,,14707.64,,,
Nifty 50 TRI,20200702,,,,14886.06,,,
Nifty 50 TRI,20200703,,,,14964.59,,,
Nifty 50 TRI,20200706,,,,15185.78,,,
Nifty 50 TRI,20200707,,,,15236.58,,,
Nifty 50 TRI,20200708,,,,15104.09,,,
Nifty 50 TRI,20200709,,,,15268.19,,,
Nifty 50 TRI,20200710,,,,15204.13,,,
Nifty 50 TRI,20200713,,,,15254.09,,,
Nifty 50 TRI,20200714,,,,14978.23,,,
Nifty 50 TRI,20200715,,,,14993.52,,,
Nifty 50 TRI,20200716,,,,15167.99,,,
Nifty 50 TRI,20200717,,,,15396.44,,,
Nifty 50 TRI,20200720,,,,15566.56,,,
Nifty 50 TRI,20200721,,,,15764.41,,,
Nifty 50 TRI,20200722,,,,15722.51,,,
Nifty 50 TRI,20200723,,,,15841.48,,,
Nifty 50 TRI,20200724,,,,15811.4,,,
Nifty 50 TRI,20200727,,,,15723.39,,,
Nifty 50 TRI,20200728,,,,15961.7,,,
Nifty 50 TRI,20200729,,,,15824.19,,,
Nifty 50 TRI,20200730,,,,15685.92,,,
Nifty 50 TRI,20200731,,,,15645.34,,,
Nifty 50 TRI,20200803,,,,15388.98,,,
Nifty 50 TRI,20200804,,,,15676.74,,,
Nifty 50 TRI,20200805,,,,15689.69,,,
Nifty 50 TRI,20200806,,,,15833.02,,,
Nifty 50 TRI,20200807,,,,15852.65,,,
Nifty 50 TRI,20200810,,,,15931.97,,,
Nifty 50 TRI,20200811,,,,16005.99,,,
Nifty 50 TRI,20200812,,,,15986.03,,,
Nifty 50 TRI,20200813,,,,15981.73,,,
Nifty 50 TRI,20200814,,,,15809.17,,,
Nifty 50 TRI,20200817,,,,15906.29,,,
Nifty 50 TRI,20200818,,,,16101.86,,,
Nifty 50 TRI,20200819,,,,16135.89,,,
Nifty 50 TRI,20200820,,,,15999.86,,,
Nifty 50 TRI,20200821,,,,16083.84,,,
Nifty 50 TRI,20200824,,,,16218.02,,,
Nifty 50 TRI,20200825,,,,16226.2,,,
Nifty 50 TRI,20200826,,,,16339.41,,,
Nifty 50 TRI,20200827,,,,16353.08,,,
Nifty 50 TRI,20200828,,,,16478.01,,,
Nifty 50 TRI,20200831,,,,16110.07,,,
Nifty 50 TRI,20200901,,,,16227.14,,,
Nifty 50 TRI,20200902,,,,16322.17,,,
Nifty 50 TRI,20200903,,,,16311.99,,,
Nifty 50 TRI,20200904,,,,16038.07,,,
Nifty 50 TRI,20200907,,,,16068.06,,,
Nifty 50 TRI,20200908,,,,16014.67,,,
Nifty 50 TRI,20200909,,,,15958.99,,,
Nifty 50 TRI,20200910,,,,16201.44,,,
Nifty 50 TRI,20200911,,,,16222.92,,,
Nifty 50 TRI,20200914,,,,16189.14,,,
Nifty 50 TRI,20200915,,,,16304.84,,,
Nifty 50 TRI,20200916,,,,16421.95,,,
Nifty 50 TRI,20200917,,,,16296.78,,,
Nifty 50 TRI,20200918,,,,16281,,,
Nifty 50 TRI,20200921,,,,15920.99,,,
Nifty 50 TRI,20200922,,,,15783.87,,,
Nifty 50 TRI,20200923,,,,15752.97,,,
Nifty 50 TRI,20200924,,,,15291.25,,,
Nifty 50 TRI,20200925,,,,15637.53,,,
Nifty 50 TRI,20200928,,,,15888.44,,,
Nifty 50 TRI,20200929,,,,15881.16,,,
Nifty 50 TRI,20200930,,,,15916.72,,,
Nifty 50 TRI,20201001,,,,16156.44,,,
Nifty 50 TRI,20201005,,,,16278.72,,,
Nifty 50 TRI,20201007,,,,16611.96,,,
Nifty 50 TRI,20201008,,,,16747.48,,,
Nifty 50 TRI,20201009,,,,16860.11,,,
Nifty 50 TRI,20201012,,,,16883.84,,,
Nifty 50 TRI,20201013,,,,16888.87,,,
Nifty 50 TRI,20201014,,,,16944.73,,,
Nifty 50 TRI,20201015,,,,16533.24,,,
Nifty 50 TRI,20201016,,,,16649.46,,,
Nifty 50 TRI,20201019,,,,16805.97,,,
Nifty 50 TRI,20201020,,,,16839.6,,,
Nifty 50 TRI,20201021,,,,16897.43,,,
Nifty 50 TRI,20201022,,,,16840.52,,,
Nifty 50 TRI,20201023,,,,16902.96,,,
Nifty 50 TRI,20201026,,,,16672.62,,,
Nifty 50 TRI,20201027,,,,16844.96,,,
Nifty 50 TRI,20201028,,,,16623.13,,,
Nifty 50 TRI,20201029,,,,16544.45,,,
Nifty 50 TRI,20201030,,,,16504.16,,,
Nifty 50 TRI,20201102,,,,16542.08,,,
Nifty 50 TRI,20201103,,,,16746.75,,,
Nifty 50 TRI,20201104,,,,16888.65,,,
Nifty 50 TRI,20201105,,,,17189.03,,,
Nifty 50 TRI,20201106,,,,17392.14,,,
Nifty 50 TRI,20201109,,,,17672.25,,,
Nifty 50 TRI,20201110,,,,17913.4,,,
Nifty 50 TRI,20201111,,,,18080.84,,,
Nifty 50 TRI,20201112,,,,17998.11,,,
Nifty 50 TRI,20201113,,,,18039.44,,,
Nifty 50 TRI,20201114,,,,18124.93,,,
Nifty 50 TRI,20201117,,,,18258.23,,,
Nifty 50 TRI,20201118,,,,18349.02,,,
Nifty 50 TRI,20201119,,,,18112.83,,,
Nifty 50 TRI,20201120,,,,18236.68,,,
Nifty 50 TRI,20201123,,,,18332.33,,,
Nifty 50 TRI,20201124,,,,18514.82,,,
Nifty 50 TRI,20201125,,,,18235.76,,,
Nifty 50 TRI,20201126,,,,18418.16,,,
Nifty 50 TRI,20201127,,,,18392.54,,,
Nifty 50 TRI,20201201,,,,18591.25,,,
Nifty 50 TRI,20201202,,,,18597.9,,,
Nifty 50 TRI,20201203,,,,18626.53,,,
Nifty 50 TRI,20201204,,,,18803.27,,,
Nifty 50 TRI,20201208,,,,18993.86,,,
Nifty 50 TRI,20201209,,,,19186.95,,,
Nifty 50 TRI,20201210,,,,19114.96,,,
Nifty 50 TRI,20201211,,,,19165.33,,,
Nifty 50 TRI,20201214,,,,19228.16,,,
Nifty 50 TRI,20201215,,,,19241.9,,,
Nifty 50 TRI,20201216,,,,19404.8,,,
Nifty 50 TRI,20201217,,,,19491.3,,,
Nifty 50 TRI,20201218,,,,19519.42,,,
Nifty 50 TRI,20201221,,,,18906.45,,,
Nifty 50 TRI,20201222,,,,19102.06,,,
Nifty 50 TRI,20201223,,,,19293.26,,,
Nifty 50 TRI,20201224,,,,19503.4,,,
Nifty 50 TRI,20201228,,,,19679.24,,,
Nifty 50 TRI,20201229,,,,19763.51,,,
Nifty 50 TRI,20201230,,,,19833.53,,,
Nifty 50 TRI,20201231,,,,19833.19,,,
Nifty 50 TRI,20210101,,,,19885.36,,,
Nifty 50 TRI,20210104,,,,20047.61,,,
Nifty 50 TRI,20210105,,,,20142.13,,,
Nifty 50 TRI,20210106,,,,20066.56,,,
Nifty 50 TRI,20210107,,,,20053.97,,,
Nifty 50 TRI,20210108,,,,20351.67,,,
Nifty 50 TRI,20210111,,,,20546.74,,,
Nifty 50 TRI,20210112,,,,20658.34,,,
Nifty 50 TRI,20210113,,,,20660.35,,,
Nifty 50 TRI,20210114,,,,20706.07,,,
Nifty 50 TRI,20210115,,,,20476.38,,,
Nifty 50 TRI,20210118,,,,20260.18,,,
Nifty 50 TRI,20210119,,,,20600.41,,,
Nifty 50 TRI,20210120,,,,20775.67,,,
Nifty 50 TRI,20210121,,,,20700.02,,,
Nifty 50 TRI,20210122,,,,20390.57,,,
Nifty 50 TRI,20210125,,,,20201.9,,,
Nifty 50 TRI,20210127,,,,19818.34,,,
Nifty 50 TRI,20210128,,,,19605.59,,,
Nifty 50 TRI,20210129,,,,19346.03,,,
Nifty 50 TRI,20210201,,,,20263.44,,,
Nifty 50 TRI,20210202,,,,20783.69,,,
Nifty 50 TRI,20210203,,,,20985.32,,,
Nifty 50 TRI,20210204,,,,21135.31,,,
Nifty 50 TRI,20210205,,,,21175.89,,,
Nifty 50 TRI,20210208,,,,21447.64,,,
Nifty 50 TRI,20210209,,,,21440.42,,,
Nifty 50 TRI,20210210,,,,21436.44,,,
Nifty 50 TRI,20210211,,,,21536,,,
Nifty 50 TRI,20210212,,,,21521.82,,,
Nifty 50 TRI,20210215,,,,21739.69,,,
Nifty 50 TRI,20210216,,,,21737.9,,,
Nifty 50 TRI,20210217,,,,21595.82,,,
Nifty 50 TRI,20210218,,,,21468.11,,,
Nifty 50 TRI,20210219,,,,21273.28,,,
Nifty 50 TRI,20210222,,,,20853.12,,,
Nifty 50 TRI,20210223,,,,20898.75,,,
Nifty 50 TRI,20210224,,,,21288.35,,,
Nifty 50 TRI,20210225,,,,21452.24,,,
Nifty 50 TRI,20210226,,,,20644.88,,,
Nifty 50 TRI,20210301,,,,20975.08,,,
Nifty 50 TRI,20210302,,,,21198.93,,,
Nifty 50 TRI,20210303,,,,21662.92,,,
Nifty 50 TRI,20210304,,,,21428.63,,,
Nifty 50 TRI,20210305,,,,21225.94,,,
Nifty 50 TRI,20210308,,,,21255.06,,,
Nifty 50 TRI,20210309,,,,21457.17,,,
Nifty 50 TRI,20210310,,,,21565.72,,,
Nifty 50 TRI,20210312,,,,21361.29,,,
Nifty 50 TRI,20210315,,,,21220.59,,,
Nifty 50 TRI,20210316,,,,21193.46,,,
Nifty 50 TRI,20210317,,,,20924.61,,,
Nifty 50 TRI,20210318,,,,20692.34,,,
Nifty 50 TRI,20210319,,,,20956.87,,,
Nifty 50 TRI,20210322,,,,20947.65,,,
Nifty 50 TRI,20210323,,,,21061.52,,,
Nifty 50 TRI,20210324,,,,20684.27,,,
Nifty 50 TRI,20210325,,,,20366.42,,,
Nifty 50 TRI,20210326,,,,20625.79,,,
Nifty 50 TRI,20210330,,,,21106.06,,,
Nifty 50 TRI,20210331,,,,20886.52,,,
Nifty 50 TRI,20210401,,,,21137.69,,,
Nifty 50 TRI,20210405,,,,20811.61,,,
Nifty 50 TRI,20210406,,,,20876.57,,,
Nifty 50 TRI,20210407,,,,21069.32,,,
Nifty 50 TRI,20210408,,,,21149.59,,,
Nifty 50 TRI,20210409,,,,21094.17,,,
Nifty 50 TRI,20210412,,,,20348.99,,,
Nifty 50 TRI,20210413,,,,20624.86,,,
Nifty 50 TRI,20210415,,,,20733.88,,,
Nifty 50 TRI,20210416,,,,20785.61,,,
Nifty 50 TRI,20210419,,,,20418.16,,,
Nifty 50 TRI,20210420,,,,20328.55,,,
Nifty 50 TRI,20210422,,,,20484.63,,,
Nifty 50 TRI,20210423,,,,20392.44,,,
Nifty 50 TRI,20210426,,,,20596.72,,,
Nifty 50 TRI,20210427,,,,20835.67,,,
Nifty 50 TRI,20210428,,,,21136.41,,,
Nifty 50 TRI,20210429,,,,21186.3,,,
Nifty 50 TRI,20210430,,,,20811.13,,,
Nifty 50 TRI,20210503,,,,20815.43,,,
Nifty 50 TRI,20210504,,,,20619.62,,,
Nifty 50 TRI,20210505,,,,20792.24,,,
Nifty 50 TRI,20210506,,,,20944.41,,,
Nifty 50 TRI,20210507,,,,21084.26,,,
Nifty 50 TRI,20210510,,,,21253.8,,,
Nifty 50 TRI,20210511,,,,21123.53,,,
Nifty 50 TRI,20210512,,,,20904.13,,,
Nifty 50 TRI,20210514,,,,20877.56,,,
Nifty 50 TRI,20210517,,,,21226.53,,,
Nifty 50 TRI,20210518,,,,21489.56,,,
Nifty 50 TRI,20210519,,,,21378.71,,,
Nifty 50 TRI,20210520,,,,21202.21,,,
Nifty 50 TRI,20210521,,,,21585.18,,,
Nifty 50 TRI,20210525,,,,21639.04,,,
Nifty 50 TRI,20210526,,,,21771.35,,,
Nifty 50 TRI,20210527,,,,21823.14,,,
Nifty 50 TRI,20210528,,,,21962.31,,,
Nifty 50 TRI,20210531,,,,22203.59,,,
Nifty 50 TRI,20210601,,,,22192.25,,,
Nifty 50 TRI,20210602,,,,22194.18,,,
Nifty 50 TRI,20210603,,,,22361.86,,,
Nifty 50 TRI,20210604,,,,22333.23,,,
Nifty 50 TRI,20210607,,,,22449.24,,,
Nifty 50 TRI,20210608,,,,22432.77,,,
Nifty 50 TRI,20210609,,,,22283.52,,,
Nifty 50 TRI,20210610,,,,22448.94,,,
Nifty 50 TRI,20210611,,,,22544.26,,,
Nifty 50 TRI,20210614,,,,22567.11,,,
Nifty 50 TRI,20210615,,,,22649.05,,,
Nifty 50 TRI,20210616,,,,22503.9,,,
Nifty 50 TRI,20210617,,,,22401.65,,,
Nifty 50 TRI,20210618,,,,22390.11,,,
Nifty 50 TRI,20210621,,,,22480.3,,,
Nifty 50 TRI,20210622,,,,22517.74,,,
Nifty 50 TRI,20210623,,,,22395.25,,,
Nifty 50 TRI,20210624,,,,22544.26,,,
Nifty 50 TRI,20210625,,,,22644.06,,,
Nifty 50 TRI,20210628,,,,22578.86,,,
Nifty 50 TRI,20210629,,,,22493.6,,,
Nifty 50 TRI,20210630,,,,22455.7,,,
Nifty 50 TRI,20210701,,,,22396.4,,,
Nifty 50 TRI,20210702,,,,22456.66,,,
Nifty 50 TRI,20210705,,,,22618.97,,,
Nifty 50 TRI,20210706,,,,22595.93,,,
Nifty 50 TRI,20210707,,,,22683.66,,,
Nifty 50 TRI,20210708,,,,22473.81,,,
Nifty 50 TRI,20210709,,,,22420.36,,,
